name,review
快樂,"非常愛墾丁凱撒.但目前最覺得要改善的
也是早餐用餐的時間.跟制度.人多到爆.
我最不喜歡被安排到宴會廳.
再來就是退房時間.
飯店可以延後時間ci.
客人確要準時.....
記得以前退房是12:00
由此可見應該是人手不足
才導致無法準時進房.又要提早退房"
陳莉甯,"我們住的是花園景觀房
房間的清潔水平與服務水平與房價的沒有成正比。
房間廁所牆壁有黴菌，邊邊角角也都有陳年污垢。
整體房間有潮濕味。
房間雖然放了很多零食，但四人房的迷你吧上卻只放了兩個茶包，非常的沒有服務水準。
早餐更糟
分兩個時段說是要控管人數，但卻一整個爆滿。
被引導坐在餐廳外的宴會廳，飯店的服務員完全沒有抱歉感，在宴會廳裡除了不會收盤子之外拿食物還要到遙遠的地方拿。一整個動線超混亂。
另一個房間更糟，淋浴間的門還是壞的。
早餐菜色雖然擺了很多，但都不夠精緻。選擇性很少。"
Health Lee,房間舒適  離海灘墾丁大街都近
Tim Chang,早餐很棒，服務又好，不愧是墾丁頂級渡假飯店。
Angela Chen,"牛肉麵好吃
可惜飯店泡湯池牆壁上黑色青苔很驚人"
"Mu-xi ,Sui",飯店房間設備已翻新，但少數櫃檯員工服務態度不佳，問題已存在好幾年，一直無法改善。
KW Chen,"明顯人手不足，三點應該入住，卻因為房間還沒整理好，臨時換房，晚了十幾分鐘才讓旅客入住，下午四點多經過廊道還有辛苦的工作人員在整理。

部分設施略顯老舊，好在隔音還算不錯，早餐品項還行，只是當日人潮太多，部分品項需要等待。

只能說同樣的價錢在其他地方可能有更好的體驗。"
Alan Peng,這是一個愉快而美麗的度假勝地。早餐一般
0 LEE,離墾丁大街很近，也有私人沙灘，早點也很好吃
林昱廷,泳池還不錯，還有個半私人海灘~可惜房間可能靠海，進門霉味頗重
David Liao,很棒！會再過來！
Ray T,飯店整體很有度假的氛圍，員工每個都服務很好又親切，但房間的隔音真的非常的不好，還有⋯一間這麼大的飯店只給鸚鵡住這樣的地方⋯
BingCheng Liu,五年前是凱撒的vip 但因為小孩都長大了就沒有去住了 昨天剛好有幸去住了一晚 發現整體的品質下降很多 包括沙灘不再提供游泳圈跟浴巾 退房時間也提早到11:00 之前是12:00 房卡不是免費贈送 小凱薩俱樂部整個變得很空虛…總之對於凱撒感到十分失望 曾經那麼有回憶 品質那麼好的飯店 現在變成這樣 真的很感傷 一樣的價格還有華泰可以住 不推薦凱撒
Haru Wang,兩年前去的，早餐超級好吃
the God king,"我們是約一年前就預定的家庭團體，過去一年間負責聯絡的業務業助常常不一樣，因為人數眾多且有老有小，點餐或是房務細節在事前都先準備，但到現場以後還是很多東西要確認。
以房價和品牌來說，對凱撒這個服務品質感到失望，短期內未來家族旅遊不會再考慮。

自助早餐品質不夠好，泰式單點餐廳Lotus好吃，推薦可以來吃泰菜就好了。"
卿,"入住房型「花園客房」
重新裝潢過的凱撒飯店真的很不一樣，
走入飯店大廳就能感受到濃濃的東南亞風情，飯店走廊也有很好聞香芬，是凱撒飯店特有的「凱撒之香」，客房坪數很大，也很好拍📷，客房戶外還有個私人的按摩大浴缸🛁，飯店的對面有個沙灘，有提供酒吧跟一些水上活動，真的很放鬆
唯一的缺點是飯店大廳的酒吧，蒼蠅很多，要在這用餐的話，要注意一下…."
Jean Lin,墾丁最好的度假飯店
